y,xL,xR,xR_mirror,d,d_sav,in_central
169.0,59.502,152.498,240.502,181.0,181.16883116883093,1
170.0,59.502,152.498,240.502,181.0,180.83116883116858,1
171.0,59.502,152.498,240.502,181.0,180.5367965367963,1
172.0,60.502,152.498,240.502,180.0,180.3722943722941,1
173.0,60.502,152.498,240.502,180.0,180.229437229437,1
174.0,60.502,152.498,240.502,180.0,179.99999999999974,1
175.0,60.502,152.498,240.502,180.0,179.77056277056252,1
176.0,60.502,152.498,240.502,180.0,179.62770562770538,1
177.0,61.502,152.498,240.502,179.0,179.4632034632032,1
178.0,61.502,152.498,240.502,179.0,179.1688311688309,1
179.0,61.502,152.498,240.502,179.0,178.83116883116855,1
180.0,61.502,152.498,240.502,179.0,178.53679653679626,1
181.0,62.502,152.498,240.502,178.0,178.3722943722941,1
182.0,62.502,152.498,240.502,178.0,178.229437229437,1
183.0,62.502,152.498,240.502,178.0,177.99999999999974,1
184.0,62.502,152.498,240.502,178.0,177.77056277056252,1
185.0,62.502,152.498,240.502,178.0,177.62770562770538,1
186.0,63.502,152.498,240.502,177.0,177.3722943722941,1
187.0,63.502,152.498,240.502,177.0,177.229437229437,1
188.0,63.502,152.498,240.502,177.0,176.99999999999977,1
189.0,63.502,152.498,240.502,177.0,176.77056277056252,1
190.0,63.502,152.498,240.502,177.0,176.62770562770538,1
191.0,64.502,152.498,240.502,176.0,176.3722943722941,1
192.0,64.502,152.498,240.502,176.0,176.229437229437,1
193.0,64.502,152.498,240.502,176.0,175.99999999999977,1
194.0,64.502,152.498,240.502,176.0,175.8614718614716,1
195.0,64.502,152.498,240.502,176.0,175.6580086580084,1
196.0,65.502,152.498,240.502,175.0,175.32467532467507,1
197.0,65.502,152.498,240.502,175.0,174.79653679653654,1
198.0,65.502,153.498,239.502,174.0,174.20346320346295,1
199.0,65.502,153.498,239.502,174.0,173.67532467532442,1
200.0,66.502,153.498,239.502,173.0,173.3419913419911,1
201.0,66.502,153.498,239.502,173.0,173.13852813852787,1
202.0,66.502,153.498,239.502,173.0,172.99999999999974,1
203.0,66.502,153.498,239.502,173.0,172.77056277056252,1
204.0,66.502,153.498,239.502,173.0,172.62770562770538,1
205.0,67.502,153.498,239.502,172.0,172.46320346320323,1
206.0,67.502,153.498,239.502,172.0,172.16883116883093,1
207.0,67.502,153.498,239.502,172.0,171.83116883116858,1
208.0,67.502,153.498,239.502,172.0,171.62770562770538,1
209.0,68.502,153.498,239.502,171.0,171.40259740259717,1
210.0,68.502,153.498,239.502,171.0,170.99999999999977,1
211.0,68.502,153.498,239.502,171.0,170.59740259740235,1
212.0,68.502,154.498,238.502,170.0,170.28138528138504,1
213.0,68.502,154.498,238.502,170.0,170.1385281385279,1
214.0,68.502,154.498,238.502,170.0,169.96969696969674,1
215.0,68.502,154.498,238.502,170.0,169.99999999999977,1
216.0,68.502,154.498,238.502,170.0,170.0303030303028,1
217.0,68.502,154.498,238.502,170.0,169.8614718614716,1
218.0,68.502,154.498,238.502,170.0,169.62770562770538,1
219.0,69.502,154.498,238.502,169.0,169.37229437229414,1
220.0,69.502,154.498,238.502,169.0,169.229437229437,1
221.0,69.502,154.498,238.502,169.0,168.99999999999977,1
222.0,69.502,154.498,238.502,169.0,168.77056277056255,1
223.0,69.502,154.498,238.502,169.0,168.62770562770538,1
224.0,69.502,155.498,237.502,168.0,168.37229437229414,1
225.0,69.502,155.498,237.502,168.0,168.1385281385279,1
226.0,69.502,155.498,237.502,168.0,167.96969696969674,1
227.0,69.502,155.498,237.502,168.0,167.90909090909068,1
228.0,69.502,155.498,237.502,168.0,167.99999999999977,1
229.0,69.502,155.498,237.502,168.0,167.99999999999977,1
230.0,69.502,155.498,237.502,168.0,167.99999999999977,1
231.0,69.502,155.498,237.502,168.0,168.09090909090887,1
232.0,69.502,155.498,237.502,168.0,168.0303030303028,1
233.0,69.502,155.498,237.502,168.0,167.86147186147164,1
234.0,69.502,155.498,237.502,168.0,167.62770562770538,1
235.0,70.502,155.498,237.502,167.0,167.37229437229414,1
236.0,70.502,155.498,237.502,167.0,167.229437229437,1
237.0,70.502,155.498,237.502,167.0,166.99999999999977,1
238.0,70.502,155.498,237.502,167.0,166.77056277056255,1
239.0,70.502,155.498,237.502,167.0,166.62770562770538,1
240.0,70.502,156.498,236.502,166.0,166.37229437229414,0
241.0,70.502,156.498,236.502,166.0,166.1385281385279,0
242.0,70.502,156.498,236.502,166.0,165.9696969696967,0
243.0,70.502,156.498,236.502,166.0,165.90909090909065,0
244.0,70.502,156.498,236.502,166.0,165.99999999999977,0
245.0,70.502,156.498,236.502,166.0,165.99999999999977,0
246.0,70.502,156.498,236.502,166.0,165.99999999999977,0
247.0,70.502,156.498,236.502,166.0,165.99999999999977,0
248.0,70.502,156.498,236.502,166.0,165.99999999999977,0
249.0,70.502,156.498,236.502,166.0,165.99999999999977,0
250.0,70.502,156.498,236.502,166.0,166.09090909090884,0
251.0,70.502,156.498,236.502,166.0,166.1212121212119,0
252.0,70.502,156.498,236.502,166.0,165.89177489177467,0
253.0,70.502,156.498,236.502,166.0,165.48917748917728,0
254.0,71.502,156.498,236.502,165.0,164.99999999999977,0
255.0,71.502,157.498,235.502,164.0,164.51082251082227,0
256.0,71.502,157.498,235.502,164.0,164.10822510822487,0
257.0,71.502,157.498,235.502,164.0,163.96969696969674,0
258.0,71.502,157.498,235.502,164.0,163.9393939393937,0
259.0,71.502,157.498,235.502,164.0,163.8614718614716,0
260.0,71.502,157.498,235.502,164.0,163.62770562770538,0
261.0,71.502,158.498,234.502,163.0,163.37229437229416,0
262.0,71.502,158.498,234.502,163.0,163.13852813852793,0
263.0,71.502,158.498,234.502,163.0,163.06060606060583,0
264.0,71.502,158.498,234.502,163.0,162.9393939393937,0
265.0,71.502,158.498,234.502,163.0,162.86147186147164,0
266.0,71.502,158.498,234.502,163.0,162.6277056277054,0
267.0,71.502,159.498,233.502,162.0,162.46320346320323,0
268.0,71.502,159.498,233.502,162.0,162.16883116883093,0
269.0,71.502,159.498,233.502,162.0,161.74025974025952,0
270.0,71.502,159.498,233.502,162.0,161.50649350649326,0
271.0,71.502,160.498,232.502,161.0,161.6017316017314,0
272.0,71.502,160.498,232.502,161.0,161.54112554112533,0
273.0,70.502,160.498,232.502,162.0,161.45887445887422,0
274.0,70.502,160.498,232.502,162.0,161.39826839826816,0
275.0,70.502,161.498,231.502,161.0,161.49350649350626,0
276.0,70.502,161.498,231.502,161.0,161.25974025974003,0
277.0,70.502,161.498,231.502,161.0,160.74025974025952,0
278.0,70.502,161.498,231.502,161.0,160.50649350649329,0
279.0,70.502,162.498,230.502,160.0,160.6017316017314,0
280.0,70.502,162.498,230.502,160.0,160.54112554112533,0
281.0,69.502,162.498,230.502,161.0,160.45887445887422,0
282.0,69.502,162.498,230.502,161.0,160.39826839826816,0
283.0,69.502,163.498,229.502,160.0,160.40259740259717,0
284.0,69.502,163.498,229.502,160.0,160.229437229437,0
285.0,69.502,163.498,229.502,160.0,159.96969696969674,0
286.0,69.502,163.498,229.502,160.0,159.90909090909068,0
287.0,69.502,163.498,229.502,160.0,159.99999999999977,0
288.0,68.502,164.498,228.502,160.0,159.99999999999977,0
289.0,68.502,164.498,228.502,160.0,160.09090909090884,0
290.0,68.502,164.498,228.502,160.0,159.9393939393937,0
291.0,68.502,164.498,228.502,160.0,159.8311688311686,0
292.0,68.502,164.498,228.502,160.0,159.8571428571426,0
293.0,68.502,165.498,227.502,159.0,159.86580086580062,0
294.0,67.502,165.498,227.502,160.0,159.56709956709932,0
295.0,67.502,165.498,227.502,160.0,159.38095238095215,0
296.0,67.502,166.498,226.502,159.0,159.10822510822487,0
297.0,67.502,167.498,225.502,158.0,158.92640692640668,0
298.0,66.502,167.498,225.502,159.0,158.30303030303008,0
299.0,66.502,168.498,224.502,158.0,158.0346320346318,0
300.0,66.502,168.498,224.502,158.0,157.87445887445864,0
301.0,66.502,169.498,223.502,157.0,157.75757575757552,0
302.0,65.502,169.498,223.502,158.0,157.33333333333312,0
303.0,65.502,170.498,222.502,157.0,157.06493506493484,0
304.0,65.502,170.498,222.502,157.0,156.79653679653657,0
305.0,65.502,171.498,221.502,156.0,156.55411255411235,0
306.0,64.502,172.498,220.502,156.0,155.9393939393937,0
307.0,64.502,172.498,220.502,156.0,155.45887445887425,0
308.0,64.502,173.498,219.502,155.0,154.99999999999977,0
309.0,64.502,174.498,218.502,154.0,154.6320346320344,0
310.0,63.502,175.498,217.502,154.0,153.9090909090907,0
311.0,63.502,175.498,217.502,154.0,153.42857142857122,0
312.0,63.502,176.498,216.502,153.0,153.16883116883093,0
313.0,63.502,177.498,215.502,152.0,152.68398268398246,0
314.0,62.502,177.498,215.502,153.0,152.28571428571405,0
315.0,62.502,178.498,214.502,152.0,151.99999999999977,0
316.0,62.502,179.498,213.502,151.0,151.5999999999999,0
317.0,61.502,179.498,213.502,152.0,151.1999999999999,0
318.0,61.502,180.498,212.502,151.0,150.7999999999999,0
319.0,61.502,181.498,211.502,150.0,150.3999999999999,0
